time, battery, grassMean,
36156,0.378,0.664886,
36157,0.408,0.66496,
36158,0.438,0.665035,
36159,0.468,0.665111,
36160,0.498,0.665186,
36161,0.528,0.66526,
36162,0.558,0.665335,
36163,0.588,0.665409,
36164,0.618,0.665484,
36165,0.648,0.665559,
36166,0.678,0.665632,
36167,0.708,0.665707,
36168,0.738,0.665781,
36169,0.768,0.665855,
36170,0.798,0.665929,
36171,0.828,0.666003,
36172,0.858,0.666077,
36173,0.888,0.666151,
36174,0.918,0.666225,
36175,0.948,0.6663,
36176,0.978,0.666312,
36177,1,0.666325,
36178,1,0.666393,
36179,0.996,0.666458,
36180,0.992,0.666523,
36181,0.988,0.666589,
36182,0.984,0.666636,
36183,0.98,0.666513,
36184,0.976,0.666391,
36185,0.972,0.666269,
36186,0.968,0.666146,
36187,0.964,0.666024,
36188,0.96,0.665901,
36189,0.956,0.665779,
36190,0.952,0.665657,
36191,0.948,0.665534,
36192,0.944,0.665411,
36193,0.94,0.665289,
36194,0.936,0.665166,
36195,0.932,0.665043,
36196,0.928,0.66492,
36197,0.924,0.664797,
36198,0.92,0.664674,
36199,0.916,0.664552,
36200,0.912,0.664429,
36201,0.908,0.664306,
36202,0.904,0.664183,
36203,0.9,0.664117,
36204,0.896,0.664066,
36205,0.892,0.663944,
36206,0.888,0.66382,
36207,0.884,0.663698,
36208,0.88,0.663575,
36209,0.876,0.663452,
36210,0.872,0.663329,
36211,0.868,0.663206,
36212,0.864,0.663082,
36213,0.86,0.663018,
36214,0.856,0.662895,
36215,0.846,0.662576,
36216,0.842,0.662453,
36217,0.838,0.66233,
36218,0.834,0.662207,
36219,0.83,0.662083,
36220,0.826,0.661978,
36221,0.822,0.662043,
36222,0.818,0.662108,
36223,0.814,0.662172,
36224,0.81,0.662236,
36225,0.806,0.6623,
36226,0.802,0.662365,
36227,0.798,0.662429,
36228,0.794,0.662493,
36229,0.79,0.662557,
36230,0.786,0.662621,
36231,0.782,0.662684,
36232,0.778,0.662747,
36233,0.774,0.662809,
36234,0.764,0.662872,
36235,0.754,0.662935,
36236,0.744,0.662998,
36237,0.734,0.66306,
36238,0.724,0.662585,
36239,0.72,0.662647,
36240,0.71,0.662076,
36241,0.706,0.662139,
36242,0.696,0.661568,
36243,0.692,0.661631,
36244,0.682,0.661061,
36245,0.678,0.660934,
36246,0.674,0.660808,
36247,0.67,0.660697,
36248,0.666,0.660571,
36249,0.662,0.660635,
36250,0.658,0.660509,
36251,0.654,0.660382,
36252,0.65,0.660255,
36253,0.646,0.660128,
36254,0.642,0.660001,
36255,0.638,0.659873,
36256,0.634,0.659775,
36257,0.63,0.659697,
36258,0.626,0.659605,
36259,0.622,0.659705,
36260,0.617999,0.659692,
36261,0.613999,0.659601,
36262,0.609999,0.65951,
36263,0.605999,0.659609,
36264,0.601999,0.659517,
36265,0.597999,0.659426,
36266,0.593999,0.659525,
36267,0.589999,0.659622,
36268,0.585999,0.659721,
36269,0.581999,0.65963,
36270,0.577999,0.659727,
36271,0.573999,0.65955,
36272,0.569999,0.659373,
36273,0.565999,0.659196,
36274,0.561999,0.659097,
36275,0.557999,0.65892,
36276,0.553999,0.658933,
36277,0.549999,0.658833,
36278,0.545999,0.658734,
36279,0.541999,0.658655,
36280,0.537999,0.658668,
36281,0.533999,0.658581,
36282,0.529999,0.658625,
36283,0.525999,0.65867,
36284,0.521999,0.658525,
36285,0.517999,0.65838,
36286,0.513999,0.658423,
36287,0.509999,0.658454,
36288,0.505999,0.658498,
36289,0.501999,0.658353,
36290,0.497999,0.658209,
36291,0.493999,0.658064,
36292,0.489999,0.657918,
36293,0.485999,0.657774,
36294,0.481999,0.657628,
36295,0.477999,0.657483,
36296,0.473999,0.657337,
36297,0.469999,0.657192,
36298,0.465999,0.657046,
36299,0.461999,0.656901,
36300,0.457999,0.656755,
36301,0.453999,0.656609,
36302,0.449999,0.656464,
36303,0.445999,0.656319,
36304,0.441999,0.656173,
36305,0.437999,0.656098,
36306,0.433999,0.656023,
36307,0.429999,0.655949,
36308,0.425999,0.655875,
36309,0.421999,0.655801,
36310,0.417999,0.655727,
36311,0.413999,0.655653,
36312,0.409999,0.655578,
36313,0.405999,0.655503,
36314,0.401999,0.65543,
36315,0.397999,0.655355,
36316,0.393999,0.65528,
36317,0.389999,0.655205,
36318,0.385999,0.655129,
36319,0.381999,0.655054,
36320,0.377999,0.654979,
36321,0.373999,0.655023,
36322,0.369999,0.654947,
36323,0.365999,0.654871,
36324,0.361999,0.654797,
36325,0.357999,0.654911,
36326,0.353999,0.655025,
36327,0.343999,0.654507,
36328,0.339999,0.654621,
36329,0.329999,0.654102,
36330,0.325999,0.654217,
36331,0.315999,0.653699,
36332,0.311999,0.653814,
36333,0.301999,0.653296,
36334,0.297999,0.653412,
36335,0.287999,0.652894,
36336,0.283999,0.653011,
36337,0.273999,0.652493,
36338,0.269999,0.65261,
36339,0.259999,0.652094,
36340,0.255999,0.652211,
36341,0.245999,0.651694,
36342,0.241999,0.651812,
36343,0.231999,0.651296,
36344,0.227999,0.651224,
36345,0.223999,0.6513,
36346,0.219999,0.651418,
36347,0.215999,0.651492,
36348,0.211999,0.651566,
36349,0.207999,0.651639,
36350,0.203999,0.651753,
36351,0.199999,0.651682,
36352,0.195999,0.651611,
36353,0.191999,0.651539,
36354,0.187999,0.651469,
36355,0.183999,0.651541,
36356,0.179999,0.65166,
36357,0.175999,0.65159,
36358,0.171999,0.65166,
36359,0.167999,0.651779,
36360,0.163999,0.651898,
36361,0.159999,0.652017,
36362,0.155999,0.65184,
36363,0.151999,0.651663,
36364,0.147999,0.651486,
36365,0.143999,0.651481,
36366,0.139999,0.651475,
36367,0.135999,0.651606,
36368,0.131999,0.6516,
36369,0.127999,0.651594,
36370,0.123999,0.651589,
36371,0.119999,0.651583,
36372,0.115999,0.651577,
36373,0.111999,0.651592,
36374,0.107999,0.651586,
36375,0.0979991,0.651718,
36376,0.0939991,0.651902,
36377,0.0899991,0.651896,
36378,0.0859991,0.651889,
36379,0.0819991,0.651883,
36380,0.0779991,0.651876,
36381,0.0739991,0.651954,
36382,0.0699991,0.652135,
36383,0.0659991,0.652315,
36384,0.0619991,0.652496,
36385,0.0579991,0.652676,
36386,0.0539991,0.652857,
36387,0.0499991,0.653037,
36388,0.0799991,0.653221,
36389,0.109999,0.653405,
36390,0.139999,0.653589,
36391,0.169999,0.653773,
36392,0.199999,0.653956,
36393,0.229999,0.65414,
36394,0.259999,0.654323,
36395,0.289999,0.654507,
36396,0.319999,0.654691,
36397,0.349999,0.654873,
36398,0.379999,0.655055,
36399,0.409999,0.655237,
36400,0.439999,0.655418,
36401,0.469999,0.6556,
36402,0.499999,0.655782,
36403,0.529999,0.655963,
36404,0.559999,0.656145,
36405,0.589999,0.656327,
36406,0.619999,0.656508,
36407,0.649999,0.65669,
36408,0.679999,0.656872,
36409,0.709999,0.657054,
36410,0.739999,0.657235,
36411,0.769999,0.657417,
36412,0.799999,0.657597,
36413,0.829999,0.657777,
36414,0.859999,0.657957,
36415,0.889999,0.658091,
36416,0.919999,0.658225,
36417,0.949999,0.658359,
36418,0.979999,0.658493,
36419,1,0.658626,
36420,1,0.65876,
36421,0.996,0.65889,
36422,0.992,0.659021,
36423,0.988,0.659151,
36424,0.984,0.659281,
36425,0.98,0.659379,
36426,0.976,0.659477,
36427,0.972,0.659568,
36428,0.968,0.659631,
36429,0.964,0.659694,
36430,0.96,0.659756,
36431,0.956,0.65982,
36432,0.952,0.659885,
36433,0.948,0.65995,
36434,0.944,0.660084,
36435,0.94,0.660216,
36436,0.936,0.660349,
36437,0.932,0.660481,
36438,0.928,0.660614,
36439,0.924,0.660746,
36440,0.92,0.66088,
36441,0.916,0.661012,
36442,0.912,0.661144,
36443,0.908,0.661278,
36444,0.904,0.66141,
36445,0.9,0.661543,
36446,0.896,0.661675,
36447,0.892,0.661808,
36448,0.888,0.661846,
36449,0.884,0.661884,
36450,0.88,0.661826,
36451,0.876,0.661767,
36452,0.872,0.661708,
36453,0.868,0.661649,
36454,0.864,0.66159,
36455,0.86,0.661531,
36456,0.85,0.661482,
36457,0.846,0.661423,
36458,0.842,0.661413,
36459,0.838,0.661381,
36460,0.834,0.661323,
36461,0.83,0.661262,
36462,0.826,0.661278,
36463,0.822,0.661219,
36464,0.818,0.661159,
36465,0.814,0.661098,
36466,0.81,0.661192,
36467,0.806,0.661285,
36468,0.802,0.661225,
36469,0.798,0.661286,
36470,0.794,0.661415,
36471,0.79,0.661545,
36472,0.786,0.661629,
36473,0.782,0.661666,
36474,0.778,0.661606,
36475,0.774,0.661656,
36476,0.77,0.661671,
36477,0.766,0.66175,
36478,0.762,0.661691,
36479,0.758,0.66163,
36480,0.754,0.661759,
36481,0.75,0.661699,
36482,0.746,0.661829,
36483,0.742,0.661958,
36484,0.737999,0.662088,
36485,0.733999,0.662217,
36486,0.729999,0.662387,
36487,0.725999,0.662596,
36488,0.721999,0.662805,
36489,0.717999,0.663014,
36490,0.713999,0.663224,
36491,0.709999,0.663434,
36492,0.705999,0.663644,
