sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;vx;vy;vz;rollRate;pitchRate;yawRate;
1653318753;212425;1653318753;212484;1653318753;212407;0.325;0.03866925;0;0;0;0.3735695;
1653318753;237834;1653318753;237905;1653318753;237816;0.325;0.0365067;0;0;0;0.3518535;
1653318753;263244;1653318753;263311;1653318753;263226;0.325;0.03534824;0;0;0;0.3435726;
1653318753;288594;1653318753;288676;1653318753;288569;0.325;0.03471109;0;0;0;0.3405382;
1653318753;313996;1653318753;314060;1653318753;313976;0.325;0.03435316;0;0;0;0.3395048;
1653318753;339387;1653318753;339449;1653318753;339367;0.325;0.03414876;0;0;0;0.3392049;
1653318753;364814;1653318753;364885;1653318753;364794;0.325;0.0340306;0;0;0;0.339155;
1653318753;390200;1653318753;390293;1653318753;390176;0.325;0.03396169;0;0;0;0.3391778;
1653318753;420729;1653318753;420787;1653318753;420718;0.325;0.03392124;0;0;0;0.3392127;
1653318753;446065;1653318753;446137;1653318753;446044;0.325;0.03389739;0;0;0;0.3392423;
1653318753;473437;1653318753;473498;1653318753;473420;0.325;0.03388329;0;0;0;0.3392634;
1653318753;498739;1653318753;498803;1653318753;498722;0.325;0.03387493;0;0;0;0.3392775;
1653318753;524114;1653318753;524174;1653318753;524101;0.325;0.03386996;0;0;0;0.3392864;
1653318753;549401;1653318753;549461;1653318753;549384;0.325;0.03386701;0;0;0;0.339292;
1653318753;574830;1653318753;574893;1653318753;574811;0.325;0.03386526;0;0;0;0.3392954;
1653318753;600270;1653318753;600336;1653318753;600249;0.325;0.03386422;0;0;0;0.3392975;
1653318753;625763;1653318753;625833;1653318753;625737;0.325;0.0338636;0;0;0;0.3392988;
1653318753;651090;1653318753;651155;1653318753;651073;0.325;0.03386323;0;0;0;0.3392995;
1653318753;676466;1653318753;676533;1653318753;676447;0.325;0.03386301;0;0;0;0.3393;
1653318753;701920;1653318753;702090;1653318753;701876;0.325;0.03386287;0;0;0;0.3393002;
1653318753;727481;1653318753;727561;1653318753;727460;0.325;0.0338628;0;0;0;0.3393004;
1653318753;753337;1653318753;753449;1653318753;753322;0.325;0.03386275;0;0;0;0.3393005;
1653318753;778875;1653318753;778947;1653318753;778855;0.325;0.03386272;0;0;0;0.3393006;
1653318753;805127;1653318753;805200;1653318753;805107;0.325;0.03386271;0;0;0;0.3393006;
1653318753;830398;1653318753;830480;1653318753;830380;0.325;0.0338627;0;0;0;0.3393006;
1653318753;856463;1653318753;856534;1653318753;856443;0.325;0.03386269;0;0;0;0.3393006;
1653318753;881722;1653318753;881815;1653318753;881697;0.325;0.03386269;0;0;0;0.3393006;
1653318753;907087;1653318753;907151;1653318753;907069;0.325;0.03386268;0;0;0;0.3393006;
1653318753;933028;1653318753;933103;1653318753;933008;0.325;0.03386268;0;0;0;0.3393007;
1653318753;958612;1653318753;958688;1653318753;958592;0.325;0.03386268;0;0;0;0.3393007;
1653318753;992448;1653318753;992529;1653318753;992430;0.325;0.03386268;0;0;0;0.3393007;
1653318754;18047;1653318754;18131;1653318754;18023;0.325;0.03386268;0;0;0;0.3393007;
1653318754;45189;1653318754;45315;1653318754;45164;0.325;0.03386268;0;0;0;0.3393007;
1653318754;85664;1653318754;85745;1653318754;85644;0.325;0.03386268;0;0;0;0.3393007;
1653318754;112278;1653318754;112370;1653318754;112253;0.325;0.03386268;0;0;0;0.3393007;
1653318754;137846;1653318754;137914;1653318754;137828;0.325;0.03386268;0;0;0;0.3393007;
1653318754;163560;1653318754;163633;1653318754;163501;0.325;0.03386268;0;0;0;0.3393007;
1653318754;189394;1653318754;189463;1653318754;189374;0.325;0.03386268;0;0;0;0.3393007;
1653318754;216592;1653318754;216669;1653318754;216569;0.325;0.03386268;0;0;0;0.3393007;
1653318754;248446;1653318754;248517;1653318754;248426;0.325;0.03386268;0;0;0;0.3393007;
1653318754;276561;1653318754;276645;1653318754;276538;0.325;0.03386268;0;0;0;0.3393007;
