sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;x;y;z;roll;pitch;yaw;
1653318760;697899;1653318760;697938;1653318760;697899;0.1249208;-3.479964;0;-0;0;0.006491462;
1653318760;799024;1653318760;799085;1653318760;799024;0.1314211;-3.480532;0;-0;0;0.0005507163;
1653318760;899325;1653318760;899392;1653318760;899325;0.1379173;-3.481209;0;0;0;-0.005913214;
1653318760;999673;1653318760;999741;1653318760;999673;0.1444088;-3.481934;0;0;0;-0.01238163;
1653318761;100111;1653318761;100170;1653318761;100111;0.1508955;-3.482702;0;0;0;-0.01884891;
1653318761;200603;1653318761;200665;1653318761;200603;0.157377;-3.483511;0;0;0;-0.02531601;
1653318761;300934;1653318761;301017;1653318761;300934;0.1638533;-3.484363;0;0;0;-0.03178308;
1653318761;401289;1653318761;401349;1653318761;401289;0.1703238;-3.485256;0;0;0;-0.03825014;
1653318761;502136;1653318761;502196;1653318761;502136;0.1767885;-3.486192;0;0;0;-0.04471721;
1653318761;602413;1653318761;602477;1653318761;602413;0.1832469;-3.487169;0;0;0;-0.05118428;
1653318761;703057;1653318761;703118;1653318761;703057;0.1896989;-3.488188;0;0;0;-0.05765134;
1653318761;803345;1653318761;803406;1653318761;803345;0.1961427;-3.489269;0;0;0;-0.06436997;
1653318761;903725;1653318761;903803;1653318761;903725;0.2025776;-3.490413;0;0;0;-0.07124268;
1653318762;4161;1653318762;4248;1653318762;4161;0.2090043;-3.491604;0;0;0;-0.0781167;
1653318762;105038;1653318762;105099;1653318762;105038;0.2154226;-3.492839;0;0;0;-0.08499039;
1653318762;205362;1653318762;205432;1653318762;205362;0.2218322;-3.494119;0;0;0;-0.09186403;
1653318762;305670;1653318762;305741;1653318762;305670;0.2282329;-3.495442;0;0;0;-0.09873766;
1653318762;408768;1653318762;408818;1653318762;408768;0.2346244;-3.496809;0;0;0;-0.1056113;
1653318762;509089;1653318762;509129;1653318762;509089;0.2410063;-3.498221;0;0;0;-0.1124849;
1653318762;611166;1653318762;611272;1653318762;611166;0.2473784;-3.499676;0;0;0;-0.1193585;
1653318762;711645;1653318762;711711;1653318762;711645;0.2537403;-3.501175;0;0;0;-0.1262321;
1653318762;812035;1653318762;812104;1653318762;812035;0.2601062;-3.502614;0;0;0;-0.1319949;
1653318762;912427;1653318762;912491;1653318762;912427;0.2664662;-3.504073;0;0;0;-0.1377004;
1653318763;13013;1653318763;13076;1653318763;13013;0.2728181;-3.505566;0;0;0;-0.1434073;
1653318763;113312;1653318763;113375;1653318763;113312;0.2791613;-3.507095;0;0;0;-0.1491146;
1653318763;214445;1653318763;214522;1653318763;214445;0.2854957;-3.50866;0;0;0;-0.1548219;
1653318763;314960;1653318763;315022;1653318763;314960;0.2918211;-3.510261;0;0;0;-0.1605293;
1653318763;415253;1653318763;415313;1653318763;415253;0.2981373;-3.511898;0;0;0;-0.1662366;
1653318763;515634;1653318763;515708;1653318763;515634;0.304444;-3.513572;0;0;0;-0.171944;
1653318763;616050;1653318763;616205;1653318763;616050;0.3107081;-3.515456;0;0;0;-0.1796689;
1653318763;716550;1653318763;716614;1653318763;716550;0.3169453;-3.517451;0;0;0;-0.1877238;
1653318763;816900;1653318763;816937;1653318763;816900;0.323165;-3.519503;0;0;0;-0.1957778;
1653318763;917143;1653318763;917203;1653318763;917143;0.3293678;-3.521606;0;0;0;-0.2038304;
1653318764;17453;1653318764;17554;1653318764;17453;0.3355534;-3.523758;0;0;0;-0.2118829;
1653318764;118605;1653318764;118673;1653318764;118605;0.3417215;-3.525961;0;0;0;-0.2199353;
1653318764;218935;1653318764;218995;1653318764;218935;0.3478716;-3.528213;0;0;0;-0.2279877;
1653318764;319267;1653318764;319327;1653318764;319267;0.3540035;-3.530514;0;0;0;-0.2360402;
1653318764;419586;1653318764;419649;1653318764;419586;0.3601166;-3.532865;0;0;0;-0.2440926;
1653318764;520961;1653318764;521018;1653318764;520961;0.3662106;-3.535265;0;0;0;-0.252145;
1653318764;621258;1653318764;621315;1653318764;621258;0.3723999;-3.537288;0;0;0;-0.2557101;
1653318764;721844;1653318764;721928;1653318764;721844;0.378591;-3.5393;0;0;0;-0.2592052;
1653318764;822325;1653318764;822365;1653318764;822325;0.3847769;-3.541327;0;0;0;-0.2627057;
1653318764;922513;1653318764;922550;1653318764;922513;0.390956;-3.543374;0;0;0;-0.2662079;
1653318765;22796;1653318765;22866;1653318765;22796;0.3971279;-3.545443;0;0;0;-0.2697103;
1653318765;127526;1653318765;127594;1653318765;127526;0.4032924;-3.547534;0;0;0;-0.2732127;
1653318765;227867;1653318765;227940;1653318765;227867;0.4094497;-3.549646;0;0;0;-0.2767151;
1653318765;328134;1653318765;328216;1653318765;328134;0.4155995;-3.551779;0;0;0;-0.2802176;
1653318765;428965;1653318765;429025;1653318765;428965;0.4217418;-3.553934;0;0;0;-0.28372;
1653318765;529324;1653318765;529387;1653318765;529324;0.4279769;-3.555771;0;0;0;-0.2832094;
1653318765;629630;1653318765;629697;1653318765;629630;0.4342482;-3.557483;0;0;0;-0.2820425;
1653318765;729976;1653318765;730038;1653318765;729976;0.4405251;-3.559175;0;0;0;-0.2808775;
1653318765;830408;1653318765;830472;1653318765;830408;0.4468044;-3.560858;0;0;0;-0.2797148;
1653318765;930731;1653318765;930793;1653318765;930731;0.4530858;-3.562534;0;0;0;-0.2785527;
1653318766;31058;1653318766;31123;1653318766;31058;0.459369;-3.564203;0;0;0;-0.2773907;
1653318766;131626;1653318766;131697;1653318766;131626;0.4656543;-3.565864;0;0;0;-0.2762287;
1653318766;231917;1653318766;231977;1653318766;231917;0.4719414;-3.567518;0;0;0;-0.2750668;
1653318766;332237;1653318766;332303;1653318766;332237;0.4782305;-3.569164;0;0;0;-0.2739048;
1653318766;432635;1653318766;432671;1653318766;432635;0.4845214;-3.570804;0;0;0;-0.2727428;
1653318766;532907;1653318766;532968;1653318766;532907;0.4908143;-3.572436;0;0;0;-0.2715809;
1653318766;633476;1653318766;633548;1653318766;633476;0.4972293;-3.573617;0;0;0;-0.2657369;
1653318766;733857;1653318766;733918;1653318766;733857;0.5036613;-3.574722;0;0;0;-0.2598211;
1653318766;834162;1653318766;834223;1653318766;834162;0.5101008;-3.575784;0;0;0;-0.2539106;
1653318766;936457;1653318766;936526;1653318766;936457;0.5165467;-3.576808;0;0;0;-0.248001;
1653318767;36800;1653318767;36861;1653318767;36800;0.5229986;-3.577794;0;0;0;-0.2420917;
1653318767;137100;1653318767;137163;1653318767;137100;0.5294561;-3.578742;0;0;0;-0.2361824;
1653318767;237519;1653318767;237582;1653318767;237519;0.5359192;-3.579651;0;0;0;-0.2302731;
1653318767;337727;1653318767;337788;1653318767;337727;0.5423875;-3.580522;0;0;0;-0.2243637;
1653318767;438068;1653318767;438145;1653318767;438068;0.5488817;-3.581257;0;0;0;-0.2172235;
1653318767;539379;1653318767;539445;1653318767;539379;0.5554014;-3.581847;0;0;0;-0.2093295;
1653318767;640509;1653318767;640578;1653318767;640509;0.5619274;-3.582377;0;0;0;-0.2014289;
1653318767;740813;1653318767;740877;1653318767;740813;0.5684577;-3.582853;0;0;0;-0.19353;
1653318767;841390;1653318767;841452;1653318767;841390;0.5749915;-3.583278;0;0;0;-0.1856313;
1653318767;941947;1653318767;942011;1653318767;941947;0.5815284;-3.583652;0;0;0;-0.1777327;
1653318768;42536;1653318768;42600;1653318768;42536;0.5880681;-3.583973;0;0;0;-0.1698341;
1653318768;142881;1653318768;142934;1653318768;142881;0.5946102;-3.584243;0;0;0;-0.1619355;
1653318768;243255;1653318768;243328;1653318768;243255;0.6011541;-3.584461;0;0;0;-0.1540369;
1653318768;343581;1653318768;343656;1653318768;343581;0.6076996;-3.584628;0;0;0;-0.1461383;
1653318768;443923;1653318768;443991;1653318768;443923;0.6142516;-3.584702;0;0;0;-0.1377724;
1653318768;544317;1653318768;544423;1653318768;544317;0.6208057;-3.584707;0;0;0;-0.1293301;
1653318768;644756;1653318768;644818;1653318768;644756;0.6273598;-3.584654;0;0;0;-0.120888;
1653318768;745068;1653318768;745132;1653318768;745068;0.6339133;-3.584547;0;0;0;-0.1124461;
